model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
ensemble_residual_beta_0.3,7,0.6243771116826031,963.0,947.4469079702541,413.36632441531134,-15.553092029745955,-0.016150666697555507,144.0
ensemble_residual_beta_0.3,8,0.6923857119976444,1050.0,956.846349988653,381.76278440354736,-93.15365001134691,-0.08871776191556849,144.0
ensemble_residual_beta_0.3,9,0.5654659360215492,1063.0,921.5392408436912,497.8432923872308,-141.4607591563088,-0.1330769135995379,144.0
ensemble_residual_beta_0.3,10,0.5503888900707103,967.0,853.9119396922471,475.4437781923725,-113.0880603077529,-0.11694732193149214,144.0
ensemble_residual_beta_0.3,11,0.551924352307774,1059.0,881.4015764443036,505.305018784382,-177.59842355569631,-0.16770389382029868,144.0
ensemble_residual_beta_0.3,12,0.6091473904698848,1100.0,937.0224368282944,479.83801984433285,-162.97756317170558,-0.1481614210651869,144.0
ensemble_residual_beta_0.3,13,0.5857150427916549,998.0,973.1902441778864,447.86808461019984,-24.809755822113672,-0.024859474771656988,144.0
ensemble_residual_beta_0.3,14,0.6473025444648086,1054.0,978.0072088299934,397.4105922160654,-75.9927911700066,-0.0720994223624351,144.0
ensemble_residual_beta_0.3,15,0.6622510889695113,1124.0,986.1542795650702,438.124064908786,-137.84572043492997,-0.12263854131221529,144.0
ensemble_residual_beta_0.3,16,0.530101812101069,1012.0,945.6712627158126,507.2857925477239,-66.32873728418743,-0.06554223051797177,144.0
ensemble_residual_beta_0.3,17,0.5705604906194346,1088.0,881.4341642596514,499.3923459119642,-206.56583574034872,-0.18985830490840874,144.0
ensemble_residual_beta_0.3,18,0.5717511285323561,1078.0,906.696174806872,495.55938729617685,-171.30382519312812,-0.15890892875058268,144.0
ensemble_residual_beta_0.3,19,0.6018789151574206,1101.0,963.1413764830813,499.50385988143205,-137.8586235169186,-0.12521219211345924,144.0
ensemble_residual_beta_0.3,20,0.5746813178968774,1026.0,995.0754874443269,462.80343846267203,-30.92451255567304,-0.03014085044412577,144.0
ensemble_residual_beta_0.3,21,0.6494298153499348,1105.0,1001.0780592946312,418.89099729056846,-103.92194070536895,-0.09404700516322982,144.0
ensemble_residual_beta_0.3,22,0.6574451938542332,1162.0,1008.5696678954444,450.88914194807097,-153.43033210455565,-0.13203987272336976,144.0
ensemble_residual_beta_0.3,23,0.539939608035344,1018.0,968.447650069324,502.6839328372441,-49.55234993067587,-0.048676178713826984,144.0
ensemble_residual_beta_0.3,24,0.6197279160225424,1148.0,894.6881992709508,479.09005484992184,-253.31180072904922,-0.2206548786838408,144.0
